word,phonemes
tent,t ɛ n t
term,t ɜː m
terrible,ˈt ɛ r ə b l̩
test,t ɛ s t
than,ð æ n
thank,θ æ ŋ k
that,ð æ t
the,ð ə
theater,ˈθ ɪə t ə
their,ð eə
them,ð ɛ m
themselves,ð ɛ m ˈs ɛ l v z
then,ð ɛ n
there,ð eə
therefore,ˈð eə f ɔː
these,ð iː z
they,ð eɪ
thick,θ ɪ k
thin,θ ɪ n
thing,θ ɪ ŋ
think,θ ɪ ŋ k
third,θ ɜː d
this,ð ɪ s
those,ð oʊ z
though,ð oʊ
thought,θ ɔː t
thousand,ˈθ aʊ z n̩ d
thread,θ r ɛ d
three,θ r iː
throat,θ r oʊ t
through,θ r uː
throw,θ r oʊ
thus,ð ʌ s
ticket,ˈt ɪ k ɪ t
tide,t aɪ d
tie,t aɪ
tight,t aɪ t
till,t ɪ l
time,t aɪ m
tin,t ɪ n
tiny,ˈt aɪ n i
tip,t ɪ p
tire,t aɪə
title,ˈt aɪ t l̩
to,t uː
tobacco,t ə ˈb æ k oʊ
today,t ə ˈd eɪ
toe,t oʊ
together,t ə ˈɡ ɛ ð ə
tomorrow,t ə ˈm ɒ r oʊ
tongue,t ʌ ŋ
tonight,t ə ˈn aɪ t
too,t uː
tool,t uː l
tooth,t uː θ
top,t ɒ p
total,ˈt oʊ t l̩
touch,t ʌ tʃ
toward,t ə ˈw ɔː d
tower,ˈt aʊə
town,t aʊ n
toy,t ɔɪ
track,t r æ k
trade,t r eɪ d
traffic,ˈt r æ f ɪ k
train,t r eɪ n
transport,t r æ n ˈs p ɔː t
travel,ˈt r æ v l̩
tree,t r iː
triangle,ˈt r aɪ æ ŋ ɡ l̩
trip,t r ɪ p
trouble,ˈt r ʌ b l̩
truck,t r ʌ k
true,t r uː
trust,t r ʌ s t
truth,t r uː θ
try,t r aɪ
tube,t j uː b
turn,t ɜː n
twelve,t w ɛ l v
twenty,ˈt w ɛ n t i
twice,t w aɪ s
two,t uː
type,t aɪ p
typical,ˈt ɪ p ɪ k l̩
ugly,ˈʌ ɡ l i
umbrella,ʌ m ˈb r ɛ l ə
uncle,ˈʌ ŋ k l̩
under,ˈʌ n d ə
understand,ˌʌ n d ə ˈs t æ n d
unit,ˈj uː n ɪ t
universe,ˈj uː n ɪ v ɜː s
university,ˌj uː n ɪ ˈv ɜː s ɪ t i
unless,ʌ n ˈl ɛ s
until,ʌ n ˈt ɪ l
up,ʌ p
upon,ə ˈp ɒ n
upper,ˈʌ p ə
upset,ʌ p ˈs ɛ t
upward,ˈʌ p w ə d
us,ʌ s
use,j uː z
usual,ˈj uː ʒ ʊ ə l
valley,ˈv æ l i
value,ˈv æ l j uː
various,ˈv eə r i ə s
vegetable,ˈv ɛ dʒ t ə b l̩
very,ˈv ɛ r i
victory,ˈv ɪ k t ə r i
view,v j uː
village,ˈv ɪ l ɪ dʒ
violence,ˈv aɪə l ə n s
visit,ˈv ɪ z ɪ t
voice,v ɔɪ s
vowel,ˈv aʊə l
voyage,ˈv ɔɪ ɪ dʒ
wait,w eɪ t
walk,w ɔː k
wall,w ɔː l
want,w ɒ n t
war,w ɔː
warm,w ɔː m
was,w ʌ z
wash,w ɒ ʃ
waste,w eɪ s t
watch,w ɒ tʃ
water,ˈw ɔː t ə
wave,w eɪ v
way,w eɪ
we,w iː
weak,w iː k
wealth,w ɛ l θ
weapon,ˈw ɛ p ə n
wear,w eə
weather,ˈw ɛ ð ə
week,w iː k
weight,w eɪ t
welcome,ˈw ɛ l k ə m
well,w ɛ l
west,w ɛ s t
wet,w ɛ t
what,w ɒ t
wheel,w iː l
when,w ɛ n
where,w eə
whether,ˈw ɛ ð ə
which,w ɪ tʃ
while,w aɪ l
whisper,ˈw ɪ s p ə
whistle,ˈw ɪ s l̩
white,w aɪ t
who,h uː
whole,h oʊ l
why,w aɪ
wide,w aɪ d
wife,w aɪ f
wild,w aɪ l d
will,w ɪ l
win,w ɪ n
wind,w ɪ n d
window,ˈw ɪ n d oʊ
wine,w aɪ n
wing,w ɪ ŋ
winter,ˈw ɪ n t ə
wire,w aɪə
wise,w aɪ z
wish,w ɪ ʃ
with,w ɪ ð
within,w ɪ ˈð ɪ n
without,w ɪ ˈð aʊ t
woman,ˈw ʊ m ə n
wonder,ˈw ʌ n d ə
wonderful,ˈw ʌ n d ə f ʊ l
wood,w ʊ d
wool,w ʊ l
word,w ɜː d
work,w ɜː k
world,w ɜː l d
worry,ˈw ʌ r i
worse,w ɜː s
worth,w ɜː θ
would,w ʊ d
write,r aɪ t
wrong,r ɒ ŋ
yard,j ɑː d
year,j ɪə
yellow,ˈj ɛ l oʊ
yes,j ɛ s
yesterday,ˈj ɛ s t ə d eɪ
yet,j ɛ t
you,j uː
young,j ʌ ŋ
your,j ɔː
yourself,j ɔː ˈs ɛ l f
zero,ˈz ɪə r oʊ
zoo,z uː"an,æ n"
"and,æ n d"
"angry,?æ ? ? r i"
"animal,?æ n ? m l?"
"another,? ?n ? ð ?"
"answer,??? n s ?"
"any,?? n i"
"anybody,?? n i ?b ? d i"
"anything,?? n i ? ? ?"
"anywhere,?? n i w e?"
"apartment,? ?p ?? t m ? n t"
"appear,? ?p ??"
"apple,?æ p l?"
"are,??"
"area,?e? r i ?"
"arm,?? m"
"army,??? m i"
"around,? ?r a? n d"
"arrive,? ?r a? v"
"art,?? t"
"article,??? t ? k l?"
"artist,??? t ? s t"
"as,æ z"
"ask,?? s k"
"at,æ t"
"attack,? ?t æ k"
"attention,? ?t ? n ? n?"
"aunt,?? n t"
"author,??? ? ?"
"autumn,??? t ? m"
"available,? ?v e? l ? b l?"
"away,? ?w e?"
"awful,??? f l?"
"baby,?b e? b i"
"back,b æ k"
"bad,b æ d"
"bag,b æ ?"
"ball,b ?? l"
"banana,b ? ?n ?? n ?"
"bank,b æ ? k"
"bath,b ?? ?"
"bathroom,?b ?? ? r ? m"
"be,b i?"
"beach,b i? t?"
"bear,b e?"
"beautiful,?b j u? t ? f ? l"
"because,b ? ?k ? z"
"become,b ? ?k ? m"
"bed,b ? d"
"bedroom,?b ? d r ? m"
"beer,b ??"
"before,b ? ?f ??"
"begin,b ? ?? ? n"
"behind,b ? ?h a? n d"
"believe,b ? ?l i? v"
"bell,b ? l"
"below,b ? ?l o?"
"beside,b ? ?s a? d"
"best,b ? s t"
"better,?b ? t ?"
"between,b ? ?t w i? n"
"big,b ? ?"
"bike,b a? k"
"bird,b ?? d"
"birthday,?b ?? ? d e?"
"bit,b ? t"
"black,b l æ k"
"blood,b l ? d"
"blue,b l u?"
"boat,b o? t"
"body,?b ? d i"
"book,b ? k"
"both,b o? ?"
"bottle,?b ? t l?"
"box,b ? k s"
"boy,b ??"
"bread,b r ? d"
"break,b r e? k"
"breakfast,?b r ? k f ? s t"
"bring,b r ? ?"
"brother,?b r ? ð ?"
"brown,b r a? n"
"build,b ? l d"
"building,?b ? l d ? ?"
"bus,b ? s"
"business,?b ? z n ? s"
"busy,?b ? z i"
"but,b ? t"
"buy,b a?"
"by,b a?"
"cake,k e? k"
"call,k ?? l"
"camera,?k æ m r ?"
"can,k æ n"
"car,k ??"
"card,k ?? d"
"care,k e?"
"careful,?k e? f ? l"
"carry,?k æ r i"
"cat,k æ t"
"catch,k æ t?"
"cellphone,?s ? l f o? n"
"center,?s ? n t ?"
"chair,t? e?"
"change,t? e? n d?"
"cheap,t? i? p"
"check,t? ? k"
"child,t? a? l d"
"children,?t? ? l d r ? n"
"choice,t? ?? s"
"choose,t? u? z"
"city,?s ? t i"
"class,k l ?? s"
"classroom,?k l ?? s r ? m"
"clean,k l i? n"
"clear,k l ??"
"clock,k l ? k"
"close,k l o? z"
"clothes,k l o? ð z"
"cloud,k l a? d"
"coat,k o? t"
"coffee,?k ? f i"
"cold,k o? l d"
"college,?k ? l ? d?"
"color,?k ? l ?"
"come,k ? m"
"common,?k ? m ? n"
"company,?k ? m p ? n i"
"complete,k ? m ?p l i? t"
"computer,k ? m ?p j u? t ?"
"consider,k ? n ?s ? d ?"
"continue,k ? n ?t ? n j u?"
"control,k ? n ?t r o? l"
"cook,k ? k"
"cool,k u? l"
"copy,?k ? p i"
"corner,?k ?? n ?"
"correct,k ? ?r ? k t"
"cost,k ? s t"
"could,k ? d"
"country,?k ? n t r i"
"course,k ?? s"
"cousin,?k ? z n?"
"cover,?k ? v ?"
"cow,k a?"
"cream,k r i? m"
"credit,?k r ? d ? t"
"cross,k r ? s"
"crowd,k r a? d"
"cry,k r a?"
"cup,k ? p"
"cut,k ? t"
"dad,d æ d"
"dance,d ?? n s"
"danger,?d e? n d? ?"
"dark,d ?? k"
"date,d e? t"
"daughter,?d ?? t ?"
"day,d e?"
"dead,d ? d"
"deal,d i? l"
"dear,d ??"
"death,d ? ?"
"decide,d ? ?s a? d"
"deep,d i? p"
"degree,d ? ?? r i?"
"desk,d ? s k"
"develop,d ? ?v ? l ? p"
"dialogue,?d a? ? l ? ?"
"did,d ? d"
"die,d a?"
"different,?d ? f r ? n t"
"difficult,?d ? f ? k ? l t"
"dinner,?d ? n ?"
"direction,d ? ?r ? k ? n?"
"dirty,?d ?? t i"
"discover,d ? ?s k ? v ?"
"dish,d ? ?"
"do,d u?"
"doctor,?d ? k t ?"
"dog,d ? ?"
"dollar,?d ? l ?"
"door,d ??"
"double,?d ? b l?"
"down,d a? n"
"draw,d r ??"
"dream,d r i? m"
"dress,d r ? s"
"drink,d r ? ? k"
"drive,d r a? v"
"driver,?d r a? v ?"
"drop,d r ? p"
"dry,d r a?"
"during,?d j ?? r ? ?"
"each,i? t?"
"ear,??"
"early,??? l i"
"earth,?? ?"
"east,i? s t"
"easy,?i? z i"
"eat,i? t"
"edge,? d?"
"education,?? d? ? ?k e? ? n?"
"effect,? ?f ? k t"
"egg,? ?"
"eight,e? t"
"either,?a? ð ?"
"elder,?? l d ?"
"electric,? ?l ? k t r ? k"
"else,? l s"
"employ,? m ?p l ??"
"empty,?? m p t i"
"end,? n d"
"enemy,?? n ? m i"
"energy,?? n ? d? i"
"engine,?? n d? ? n"
"english,?? ? ? l ? ?"
"enjoy,? n ?d? ??"
"enough,? ?n ? f"
"enter,?? n t ?"
"entire,? n ?t a??"
"equal,?i? k w ? l"
"escape,? ?s k e? p"
"especially,? ?s p ? ? ? l i"
"even,?i? v n?"
"evening,?i? v n ? ?"
"event,? ?v ? n t"
"ever,?? v ?"
"every,?? v r i"
"everybody,?? v r i b ? d i"
"everyone,?? v r i w ? n"
"everything,?? v r i ? ? ?"
"everywhere,?? v r i w e?"
"exact,? ? ?z æ k t"
"examine,? ? ?z æ m ? n"
"example,? ? ?z ?? m p l?"
"excellent,?? k s ? l ? n t"
"except,? k ?s ? p t"
"excite,? k ?s a? t"
"excuse,? k ?s k j u? z"
"exercise,?? k s ? s a? z"
"exist,? ? ?z ? s t"
"expect,? k ?s p ? k t"
"experience,? k ?s p ?? r i ? n s"
"explain,? k ?s p l e? n"
"express,? k ?s p r ? s"
"extra,?? k s t r ?"
"eye,a?"
"face,f e? s"
"fact,f æ k t"
"factory,?f æ k t r i"
"fail,f e? l"
"fair,f e?"
"fall,f ?? l"
"family,?f æ m ? l i"
"famous,?f e? m ? s"
"far,f ??"
"farm,f ?? m"
"fast,f ?? s t"
"fat,f æ t"
"father,?f ?? ð ?"
"fault,f ?? l t"
"fear,f ??"
"feed,f i? d"
"feel,f i? l"
"feeling,?f i? l ? ?"
"fellow,?f ? l o?"
"female,?f i? m e? l"
"few,f j u?"
"field,f i? l d"
"fight,f a? t"
"figure,?f ? ? ?"
"fill,f ? l"
"film,f ? l m"
"final,?f a? n l?"
"find,f a? n d"
"fine,f a? n"
"finger,?f ? ? ? ?"
"finish,?f ? n ? ?"
"fire,?f a??"
"first,f ?? s t"
"fish,f ? ?"
"fit,f ? t"
"five,f a? v"
"fix,f ? k s"
"flag,f l æ ?"
"flat,f l æ t"
"flight,f l a? t"
"floor,f l ??"
"flower,?f l a? ?"
"fly,f l a?"
"follow,?f ? l o?"
"food,f u? d"
"foot,f ? t"
"for,f ??"
"force,f ?? s"
"foreign,?f ? r ? n"
"forest,?f ? r ? s t"
"forget,f ? ?? ? t"
"form,f ?? m"
"forward,?f ?? w ? d"
"found,f a? n d"
"four,f ??"
"free,f r i?"
"freedom,?f r i? d ? m"
"fresh,f r ? ?"
"friend,f r ? n d"
"from,f r ? m"
"front,f r ? n t"
"fruit,f r u? t"
"full,f ? l"
"fun,f ? n"
"funny,?f ? n i"
"future,?f j u? t? ?"
"game,? e? m"
"garden,?? ?? d n?"
"gas,? æ s"
"gather,?? æ ð ?"
"general,?d? ? n r ? l"
"gentle,?d? ? n t l?"
"get,? ? t"
"girl,? ?? l"
"give,? ? v"
"glad,? l æ d"
"glass,? l ?? s"
"go,? o?"
"god,? ? d"
"gold,? o? l d"
"good,? ? d"
"government,?? ? v ? n m ? n t"
"grade,? r e? d"
"grain,? r e? n"
"grass,? r ?? s"
"great,? r e? t"
"green,? r i? n"
"ground,? r a? n d"
"group,? r u? p"
"grow,? r o?"
"guard,? ?? d"
"guess,? ? s"
"guest,? ? s t"
"guide,? a? d"
"gun,? ? n"
"hair,h e?"
"half,h ?? f"
"hand,h æ n d"
"happen,?h æ p ? n"
"happy,?h æ p i"
"hard,h ?? d"
"hardly,?h ?? d l i"
"hat,h æ t"
"have,h æ v"
"he,h i?"
"head,h ? d"
"health,h ? l ?"
"hear,h ??"
"heart,h ?? t"
"heat,h i? t"
"heavy,?h ? v i"
"hello,h ? ?l o?"
"help,h ? l p"
"her,h ??"
"here,h ??"
"herself,h ?? ?s ? l f"
"hide,h a? d"
"high,h a?"
"hill,h ? l"
"him,h ? m"
"himself,h ? m ?s ? l f"
"his,h ? z"
"history,?h ? s t r i"
"hit,h ? t"
"hold,h o? l d"
"hole,h o? l"
"home,h o? m"
"honest,?? n ? s t"
"hope,h o? p"
"horse,h ?? s"
"hospital,?h ? s p ? t l?"
"hot,h ? t"
"hotel,h o? ?t ? l"
"hour,?a??"
"house,h a? s"
"how,h a?"
"however,h a? ?? v ?"
"huge,h j u? d?"
"human,?h j u? m ? n"
"hundred,?h ? n d r ? d"
"hungry,?h ? ? ? r i"
"hurry,?h ? r i"
"hurt,h ?? t"
"husband,?h ? z b ? n d"
"I,a?"
"ice,a? s"
"idea,a? ?d ??"
"if,? f"
"ill,? l"
"important,? m ?p ?? t n? t"
"in,? n"
"inch,? n t?"
"include,? n ?k l u? d"
"increase,? n ?k r i? s"
"indeed,? n ?d i? d"
"industry,?? n d ? s t r i"
"inform,? n ?f ?? m"
"inside,? n ?s a? d"
"instead,? n ?s t ? d"
"interest,?? n t r ? s t"
"into,?? n t u?"
"introduce,?? n t r ? ?d j u? s"
"invent,? n ?v ? n t"
"invite,? n ?v a? t"
"iron,?a?? n"
"is,? z"
"island,?a? l ? n d"
"it,? t"
"its,? t s"
"itself,? t ?s ? l f"
"jacket,?d? æ k ? t"
"job,d? ? b"
"join,d? ?? n"
"joke,d? o? k"
"journey,?d? ?? n i"
"joy,d? ??"
"judge,d? ? d?"
"jump,d? ? m p"
"just,d? ? s t"
"keep,k i? p"
"key,k i?"
"kill,k ? l"
"kind,k a? n d"
"king,k ? ?"
"kiss,k ? s"
"kitchen,?k ? t? ? n"
"knee,n i?"
"knife,n a? f"
"knock,n ? k"
"know,n o?"
"knowledge,?n ? l ? d?"
"labor,?l e? b ?"
"lack,l æ k"
"lady,?l e? d i"
"lake,l e? k"
"land,l æ n d"
"language,?l æ ? ? w ? d?"
"large,l ?? d?"
"last,l ?? s t"
"late,l e? t"
"laugh,l ?? f"
"law,l ??"
"lay,l e?"
"lazy,?l e? z i"
"lead,l i? d"
"leaf,l i? f"
"learn,l ?? n"
"least,l i? s t"
"leave,l i? v"
"left,l ? f t"
"leg,l ? ?"
"length,l ? ? ?"
"less,l ? s"
"lesson,?l ? s n?"
"let,l ? t"
"letter,?l ? t ?"
"level,?l ? v l?"
"library,?l a? b r ? r i"
"lie,l a?"
"life,l a? f"
"lift,l ? f t"
"light,l a? t"
"like,l a? k"
"likely,?l a? k l i"
"limit,?l ? m ? t"
"line,l a? n"
"lion,?l a?? n"
"lip,l ? p"
"list,l ? s t"
"listen,?l ? s n?"
"little,?l ? t l?"
"live,l ? v"
"load,l o? d"
"local,?l o? k l?"
"lock,l ? k"
"lonely,?l o? n l i"
"long,l ? ?"
"look,l ? k"
"lose,l u? z"
"loss,l ? s"
"lot,l ? t"
"loud,l a? d"
"love,l ? v"
"low,l o?"
"luck,l ? k"
"lunch,l ? n t?"
"machine,m ? ?? i? n"
"mad,m æ d"
"main,m e? n"
"major,?m e? d? ?"
"make,m e? k"
"man,m æ n"
"manage,?m æ n ? d?"
"many,?m ? n i"
"map,m æ p"
"march,m ?? t?"
"mark,m ?? k"
"market,?m ?? k ? t"
"marry,?m æ r i"
"mass,m æ s"
"master,?m ?? s t ?"
"match,m æ t?"
"material,m ? ?t ?? r i ? l"
"matter,?m æ t ?"
"may,m e?"
"me,m i?"
"meal,m i? l"
"mean,m i? n"
"meaning,?m i? n ? ?"
"measure,?m ? ? ?"
"meat,m i? t"
"medicine,?m ? d s n?"
"meet,m i? t"
"member,?m ? m b ?"
"memory,?m ? m ? r i"
"men,m ? n"
"mention,?m ? n ? n?"
"metal,?m ? t l?"
"middle,?m ? d l?"
"might,m a? t"
"mile,m a? l"
"milk,m ? l k"
"million,?m ? l j ? n"
"mind,m a? n d"
"mine,m a? n"
"minute,?m ? n ? t"
"mirror,?m ? r ?"
"miss,m ? s"
"mistake,m ? ?s t e? k"
"mix,m ? k s"
"model,?m ? d l?"
"modern,?m ? d n?"
"moment,?m o? m ? n t"
"money,?m ? n i"
"month,m ? n ?"
"moon,m u? n"
"more,m ??"
"morning,?m ?? n ? ?"
"most,m o? s t"
"mother,?m ? ð ?"
"mountain,?m a? n t ? n"
"mouth,m a? ?"
"move,m u? v"
"much,m ? t?"
"music,?m j u? z ? k"
"must,m ? s t"
"my,m a?"
"myself,m a? ?s ? l f"
"nail,n e? l"
"name,n e? m"
"narrow,?n æ r o?"
"nation,?n e? ? n?"
"natural,?n æ t? r ? l"
"near,n ??"
"nearly,?n ?? l i"
"necessary,?n ? s ? s ? r i"
"neck,n ? k"
"need,n i? d"
"needle,?n i? d l?"
"neighbor,?n e? b ?"
"neither,?n a? ð ?"
"nerve,n ?? v"
"nest,n ? s t"
"net,n ? t"
"never,?n ? v ?"
"new,n j u?"
"news,n j u? z"
"newspaper,?n j u? z p e? p ?"
"next,n ? k s t"
"nice,n a? s"
"night,n a? t"
"nine,n a? n"
"no,n o?"
"noise,n ?? z"
"none,n ? n"
"noon,n u? n"
"nor,n ??"
"north,n ?? ?"
"nose,n o? z"
"not,n ? t"
"note,n o? t"
"nothing,?n ? ? ? ?"
"notice,?n o? t ? s"
"noun,n a? n"
"now,n a?"
"number,?n ? m b ?"
"nurse,n ?? s"
"object,?? b d? ? k t"
"observe,? b ?z ?? v"
"ocean,?o? ? n?"
"of,? v"
"off,? f"
"offer,?? f ?"
"office,?? f ? s"
"officer,?? f ? s ?"
"often,?? f n?"
"oil,?? l"
"old,o? l d"
"on,? n"
"once,w ? n s"
"one,w ? n"
"only,?o? n l i"
"open,?o? p ? n"
"operate,?? p ? r e? t"
"opinion,? ?p ? n j ? n"
"or,??"
"orange,?? r ? n d?"
"order,??? d ?"
"organ,??? ? ? n"
"original,? ?r ? d? ? n l?"
"other,?? ð ?"
"our,a??"
"out,a? t"
"outside,a? t ?s a? d"
"over,?o? v ?"
"own,o? n"
"owner,?o? n ?"
"page,p e? d?"
"pain,p e? n"
"paint,p e? n t"
"pair,p e?"
"paper,?p e? p ?"
"paragraph,?p æ r ? ? r ?? f"
"parent,?p e? r ? n t"
"park,p ?? k"
"part,p ?? t"
"particular,p ? ?t ? k j ? l ?"
"party,?p ?? t i"
"pass,p ?? s"
"past,p ?? s t"
"path,p ?? ?"
"patient,?p e? ? n? t"
"pattern,?p æ t n?"
"pay,p e?"
"peace,p i? s"
"pen,p ? n"
"pencil,?p ? n s l?"
"people,?p i? p l?"
"perfect,?p ?? f ? k t"
"perhaps,p ? ?h æ p s"
"period,?p ?? r i ? d"
"person,?p ?? s n?"
"phone,f o? n"
"photo,?f o? t o?"
"phrase,f r e? z"
"physical,?f ? z ? k l?"
"piano,p i ?æ n o?"
"pick,p ? k"
"picture,?p ? k t? ?"
"piece,p i? s"
"pig,p ? ?"
"pile,p a? l"
"pilot,?p a? l ? t"
"pin,p ? n"
"pink,p ? ? k"
"pipe,p a? p"
"place,p l e? s"
"plain,p l e? n"
"plan,p l æ n"
"plane,p l e? n"
"plant,p l ?? n t"
"plate,p l e? t"
"play,p l e?"
"pleasant,?p l ? z n? t"
"please,p l i? z"
"pleasure,?p l ? ? ?"
"plenty,?p l ? n t i"
"plural,?p l ?? r ? l"
"pocket,?p ? k ? t"
"point,p ?? n t"
"poison,?p ?? z n?"
"police,p ? ?l i? s"
"polite,p ? ?l a? t"
"political,p ? ?l ? t ? k l?"
"poor,p ??"
"popular,?p ? p j ? l ?"
"population,?p ? p j ? ?l e? ? n?"
"position,p ? ?z ? ? n?"
"possible,?p ? s ? b l?"
"post,p o? s t"
"pot,p ? t"
"potato,p ? ?t e? t o?"
"pound,p a? n d"
"power,?p a??"
"practice,?p r æ k t ? s"
"prepare,p r ? ?p e?"
"present,?p r ? z n? t"
"press,p r ? s"
"pretty,?p r ? t i"
"price,p r a? s"
"pride,p r a? d"
"print,p r ? n t"
"private,?p r a? v ? t"
"prize,p r a? z"
"probable,?p r ? b ? b l?"
"problem,?p r ? b l ? m"
"process,?p r o? s ? s"
"produce,p r ? ?d j u? s"
"product,?p r ? d ? k t"
"profession,p r ? ?f ? ? n?"
"profit,?p r ? f ? t"
"program,?p r o? ? r æ m"
"progress,?p r o? ? r ? s"
"promise,?p r ? m ? s"
"proper,?p r ? p ?"
"property,?p r ? p ? t i"
"protect,p r ? ?t ? k t"
"proud,p r a? d"
"prove,p r u? v"
"provide,p r ? ?v a? d"
"public,?p ? b l ? k"
"pull,p ? l"
"pump,p ? m p"
"pupil,?p j u? p l?"
"pure,p j ??"
"purpose,?p ?? p ? s"
"push,p ? ?"
"put,p ? t"
"quality,?k w ? l ? t i"
"quantity,?k w ? n t ? t i"
"quarter,?k w ?? t ?"
"queen,k w i? n"
"question,?k w ? s t? ? n"
"quick,k w ? k"
"quiet,?k w a?? t"
"quite,k w a? t"
"race,r e? s"
"radio,?r e? d i o?"
"rail,r e? l"
"rain,r e? n"
"raise,r e? z"
"range,r e? n d?"
"rank,r æ ? k"
"rapid,?r æ p ? d"
"rate,r e? t"
"rather,?r ?? ð ?"
"raw,r ??"
"reach,r i? t?"
"read,r i? d"
"ready,?r ? d i"
"real,r ?? l"
"realize,?r ?? l a? z"
"reason,?r i? z n?"
"receive,r ? ?s i? v"
"recent,?r i? s n? t"
"record,?r ? k ?? d"
"red,r ? d"
"reduce,r ? ?d j u? s"
"refer,r ? ?f ??"
"refuse,r ? ?f j u? z"
"regard,r ? ?? ?? d"
"region,?r i? d? ? n"
"regular,?r ? ? j ? l ?"
"relation,r ? ?l e? ? n?"
"religion,r ? ?l ? d? ? n"
"remain,r ? ?m e? n"
"remember,r ? ?m ? m b ?"
"remove,r ? ?m u? v"
"repair,r ? ?p e?"
"repeat,r ? ?p i? t"
"reply,r ? ?p l a?"
"report,r ? ?p ?? t"
"represent,?r ? p r ? ?z ? n t"
"request,r ? ?k w ? s t"
"require,r ? ?k w a??"
"respect,r ? ?s p ? k t"
"rest,r ? s t"
"result,r ? ?z ? l t"
"return,r ? ?t ?? n"
"review,r ? ?v j u?"
"reward,r ? ?w ?? d"
"rice,r a? s"
"rich,r ? t?"
"ride,r a? d"
"right,r a? t"
"ring,r ? ?"
"rise,r a? z"
"river,?r ? v ?"
"road,r o? d"
"rock,r ? k"
"roll,r o? l"
"roof,r u? f"
"room,r ? m"
"root,r u? t"
"rope,r o? p"
"rose,r o? z"
"rough,r ? f"
"round,r a? n d"
"row,r o?"
"rubber,?r ? b ?"
"rude,r u? d"
"rule,r u? l"
"ruler,?r u? l ?"
"run,r ? n"
"rush,r ? ?"
"sad,s æ d"
"safe,s e? f"
"sail,s e? l"
"salt,s ?? l t"
"same,s e? m"
"sand,s æ n d"
"satellite,?s æ t ? l a? t"
"save,s e? v"
"say,s e?"
"scale,s k e? l"
"school,s k u? l"
"science,?s a?? n s"
"scissors,?s ? z ? z"
"score,s k ??"
"scream,s k r i? m"
"sea,s i?"
"search,s ?? t?"
"season,?s i? z n?"
"seat,s i? t"
"second,?s ? k ? n d"
"secret,?s i? k r ? t"
"section,?s ? k ? n?"
"see,s i?"
"seed,s i? d"
"seem,s i? m"
"seize,s i? z"
"seldom,?s ? l d ? m"
"self,s ? l f"
"sell,s ? l"
"send,s ? n d"
"sense,s ? n s"
"sentence,?s ? n t ? n s"
"separate,?s ? p ? r e? t"
"series,?s ?? r i? z"
"serious,?s ?? r i ? s"
"serve,s ?? v"
"service,?s ?? v ? s"
"set,s ? t"
"settle,?s ? t l?"
"seven,?s ? v n?"
"several,?s ? v r ? l"
"sew,s o?"
"shade,? e? d"
"shadow,?? æ d o?"
"shake,? e? k"
"shall,? æ l"
"shallow,?? æ l o?"
"shape,? e? p"
"share,? e?"
"sharp,? ?? p"
"she,? i?"
"sheep,? i? p"
"sheet,? i? t"
"shelf,? ? l f"
"shell,? ? l"
"shelter,?? ? l t ?"
"shine,? a? n"
"ship,? ? p"
"shirt,? ?? t"
"shock,? ? k"
"shoe,? u?"
"shoot,? u? t"
"shop,? ? p"
"shore,? ??"
"short,? ?? t"
"should,? ? d"
"shoulder,?? o? l d ?"
"shout,? a? t"
"show,? o?"
"shut,? ? t"
"sick,s ? k"
"side,s a? d"
"sight,s a? t"
"sign,s a? n"
"signal,?s ? ? n l?"
"silence,?s a? l ? n s"
"silent,?s a? l ? n t"
"silk,s ? l k"
"silly,?s ? l i"
"silver,?s ? l v ?"
"similar,?s ? m ? l ?"
"simple,?s ? m p l?"
"since,s ? n s"
"sing,s ? ?"
"sir,s ??"
"sister,?s ? s t ?"
"sit,s ? t"
"site,s a? t"
"situation,?s ? t? ? ?e? ? n?"
"six,s ? k s"
"size,s a? z"
"skill,s k ? l"
"skin,s k ? n"
"skirt,s k ?? t"
"sky,s k a?"
"slave,s l e? v"
"sleep,s l i? p"
"slip,s l ? p"
"slow,s l o?"
"small,s m ?? l"
"smell,s m ? l"
"smile,s m a? l"
"smoke,s m o? k"
"smooth,s m u? ð"
"snake,s n e? k"
"snow,s n o?"
"so,s o?"
"soap,s o? p"
"social,?s o? ? l?"
"society,s ? ?s a?? t i"
"sock,s ? k"
"soft,s ? f t"
"soil,s ?? l"
"soldier,?s o? l d? ?"
"solid,?s ? l ? d"
"some,s ? m"
"son,s ? n"
"song,s ? ?"
"soon,s u? n"
"sorry,?s ? r i"
"sort,s ?? t"
"sound,s a? n d"
"soup,s u? p"
"south,s a? ?"
"space,s p e? s"
"speak,s p i? k"
"special,?s p ? ? l?"
"speed,s p i? d"
"spell,s p ? l"
"spend,s p ? n d"
"spirit,?s p ? r ? t"
"splendid,?s p l ? n d ? d"
"spoon,s p u? n"
"sport,s p ?? t"
"spread,s p r ? d"
"spring,s p r ? ?"
"square,s k w e?"
"stair,s t e?"
"stamp,s t æ m p"
"stand,s t æ n d"
"standard,?s t æ n d ? d"
"star,s t ??"
"start,s t ?? t"
"state,s t e? t"
"station,?s t e? ? n?"
"stay,s t e?"
"steal,s t i? l"
"steam,s t i? m"
"steel,s t i? l"
"step,s t ? p"
"stick,s t ? k"
"sticky,?s t ? k i"
"still,s t ? l"
"sting,s t ? ?"
"stock,s t ? k"
"stomach,?s t ? m ? k"
"stone,s t o? n"
